audio_path,ground_truth,transcription,inference_time
2024_07_09 10_31_30 NtuyGQ.wav,"I would like to order a Patty Melt without the bun and a Tuscan Gourmet cooked to a medium level, please."," I would like to order a patty melt without the bun and a Tuscan gourmet cook to a medium level, please",0.5587883
2024_07_09 21_11_19 3yCioQ.wav,"May I get a small California salad with arugula and some Gilroy garlic tots, please?"," May I get a small California salad with arugula and some Gilroy garlic tots, please?",0.415237665
2024_07_12 03_34_50 Ap-fWA.wav,"""May I order the House Special Beef, and could you please add a side of Snow Peas to it?""", May I order a house special beef and could you please add a side of snow peas to it?,0.422445297
2024_07_24 12_22_36 fNFdZw.wav,"Can I have a Buffalo Chicken Sandwich with a side of Curly Fries, and also could you please add an order of Onion Rings to that?", Can I have the buffalo chicken sandwich with a side of burly fries and also could you please add an order of onion rings to that?,0.540697336
2024_07_10 09_55_57 x5sltA.wav,"""I would like to order a Hawaiian Pizza with Parmesan Bagel and another one with Jalapeño Bagel, please.""", I would like to order a Hawaiian pizza with Parmesan and Vegas and another one with jalapeno  bagels please.,0.568550587
2024_07_11 00_17_17 EuE5pQ.wav,"I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you.", I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well? Thank you.,0.491776228
2024_07_13 20_39_29 1SBf5g.wav,"Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one on whole grain wheat bread? Thank you."," Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one whole grain wheat bread. Thank you.",0.563575029
2024_07_15 16_25_07 Q-7aJQ.wav,"""May I order a personal-sized House Salad?""", May I order a personal sized house salad?,0.345551968
2024_07_15 16_15_31 ZsEMDQ.wav,"Can I order a plate of ham and eggs served on an English muffin, as well as another one with the same dish but accompanied by corn tortillas?"," Can I order a plate of ham and eggs served on the English muffin, as well as another one with the same dish, but accompanied by corn tortillas?",0.575383425
2024_06_28 12_20_04 1yAY7A.wav,"One Pozole with Flour Tortilla, Filete Empanizado with Blue Cheese, and Quesadillas De Harina for me."," One pozole with flour tortilla, fillet de empanizato with blue cheese, and quesadillas de harina for me.",0.496235132
2024_07_15 16_20_53 zYuDCw.wav,"May I please have a Nashville Hot Tender Box with three Nashville hot chicken tenders, as well as the Bruschetta topped with Tuscan beans and sun-dried tomatoes?"," May I please have a Nashville hot tender box with free Nashville hot wings tenders, as well as a bruschetta topped with Tuscan beans and sun-dried tomatoes.",0.564535141
2024_07_09 10_05_32 4bVTHg.wav,"I need a bowl of Pozole served with crispy corn tortillas on the side, and for my main course, I would like a Filete Empanizado also accompanied by some freshly made corn tortillas. Thank you!", I need a bowl of pozole syrup with crispy corn tortillas on the side and for my main  course I would like a fillet and paneer zara also accompanied by some freshly made corn  tortillas.  Thank you.,0.741564989
